theta0_rad,T_nonlinear_s,T_small_angle_s,ratio_T_over_Tsmall
0.05,1.418763408056775,1.4185033534428872,1.000183330277829
0.09791666666666667,1.4193307999416207,1.4185033534428872,1.0005833236112731
0.14583333333333331,1.4204655837113123,1.4185033534428872,1.0013833102781622
0.19374999999999998,1.4218840634234264,1.4185033534428872,1.0023832936117731
0.24166666666666664,1.4235862390779639,1.4185033534428872,1.0035832736121066
0.2895833333333333,1.4258558066173466,1.4185033534428872,1.0051832469458841
0.33749999999999997,1.4286927660415754,1.4185033534428872,1.0071832136131065
0.38541666666666663,1.431813421408227,1.4185033534428872,1.009383176947051
0.4333333333333333,1.4352177727173014,1.4185033534428872,1.0117831369477175
0.48124999999999996,1.439189515911222,1.4185033534428872,1.014583090281829
0.5291666666666667,1.4437286509899876,1.4185033534428872,1.0177830369493843
0.5770833333333334,1.4485514820111765,1.4185033534428872,1.021182980283662
0.625,1.4539417049172108,1.4185033534428872,1.024982916951384
0.6729166666666666,1.4596156237656688,1.4185033534428872,1.028982850285829
0.7208333333333333,1.465856934498972,1.4185033534428872,1.0333827769537178
0.76875,1.472665637117121,1.4185033534428872,1.0381826969550512
0.8166666666666667,1.4800417316201147,1.4185033534428872,1.0433826102898283
0.8645833333333333,1.4877015220655325,1.4185033534428872,1.0487825202913286
0.9125,1.495928704395796,1.4185033534428872,1.0545824236262733
0.9604166666666667,1.5050069745533268,1.4185033534428872,1.0609823169613835
1.0083333333333333,1.5140852447108601,1.4185033534428872,1.0673822102964956
1.05625,1.5242982986380826,1.4185033534428872,1.074582090298495
1.1041666666666667,1.5347950485077293,1.4185033534428872,1.0819819669672175
1.1520833333333333,1.545859190262222,1.4185033534428872,1.0897818369693848
1.2,1.5577744198439814,1.4185033534428872,1.098181696971717
