M_over_m,T_rod_only_s,T_rod_plus_bar_s
0.0,1.5753265826272609,1.5753265826272609
0.008032128514056224,1.5753265826272609,1.5717603776289168
0.01606425702811245,1.5753265826272609,1.5682426370487499
0.024096385542168672,1.5753265826272609,1.5647723536555687
0.0321285140562249,1.5753265826272609,1.5613485484932454
0.040160642570281124,1.5753265826272609,1.5579702698804327
0.048192771084337345,1.5753265826272609,1.55463659245294
0.056224899598393566,1.5753265826272609,1.551346616246644
0.0642570281124498,1.5753265826272609,1.5480994658189224
0.07228915662650602,1.5753265826272609,1.544894289406727
0.08032128514056225,1.5753265826272609,1.5417302581195005
0.08835341365461846,1.5753265826272609,1.5386065651652603
0.09638554216867469,1.5753265826272609,1.5355224251082489
0.10441767068273092,1.5753265826272609,1.5324770731566477
0.11244979919678713,1.5753265826272609,1.5294697644789357
0.12048192771084336,1.5753265826272609,1.526499773547535
0.1285140562248996,1.5753265826272609,1.523566393508482
0.1365461847389558,1.5753265826272609,1.52066893557591
0.14457831325301204,1.5753265826272609,1.5178067284502013
0.15261044176706826,1.5753265826272609,1.5149791177587342
0.1606425702811245,1.5753265826272609,1.5121854655181874
0.1686746987951807,1.5753265826272609,1.5094251496174418
0.17670682730923692,1.5753265826272609,1.506697563320147
0.18473895582329317,1.5753265826272609,1.5040021147860854
0.19277108433734938,1.5753265826272609,1.5013382266105018
0.2008032128514056,1.5753265826272609,1.498705335380604
0.20883534136546184,1.5753265826272609,1.4961028912484928
0.21686746987951805,1.5753265826272609,1.493530357519811
0.22489959839357426,1.5753265826272609,1.490987210257423
0.2329317269076305,1.5753265826272609,1.4884729378994992
0.24096385542168672,1.5753265826272609,1.4859870408913778
0.24899598393574296,1.5753265826272609,1.4835290313306344
0.2570281124497992,1.5753265826272609,1.4810984326247965
0.2650602409638554,1.5753265826272609,1.4786947791611829
0.2730923694779116,1.5753265826272609,1.4763176159883589
0.28112449799196787,1.5753265826272609,1.4739664985087368
0.2891566265060241,1.5753265826272609,1.4716409921818587
