t_s,t_over_T,theta_case1_rad,theta_case2_rad
0.0,0.0,0.0,0.1
0.0028384259198456973,0.002001000500250125,0.0014191755706502043,0.09999209651898044
0.005676851839691395,0.00400200100050025,0.0028381268127566873,0.09996838732522202
0.008515277759537091,0.006003001500750374,0.0042566294332352555,0.09992887616642798
0.01135370367938279,0.0080040020010005,0.005674459209915168,0.0998735692881122
0.014192129599228488,0.010005002501250625,0.007091392026981842,0.09980247543261193
0.017030555519074182,0.012006003001500749,0.008507203910402767,0.09971560583770595
0.01986898143891988,0.014007003501750874,0.009921671063330986,0.09961297423483811
0.02270740735876558,0.016008004002001,0.011334569901480579,0.09949459684694695
0.025545833278611277,0.018009004502251125,0.012745677088468545,0.09936049238590122
0.028384259198456975,0.02001000500250125,0.01415476957111751,0.09921068204954216
0.03122268511830267,0.022011005502751375,0.015561624614713642,0.0990451895183328
0.034061111038148364,0.024012006003001497,0.01696601983821426,0.09886404095161469
0.03689953695799406,0.026013006503251623,0.0183677332493995,0.09866726498347304
0.03973796287783976,0.028014007003501748,0.019766543279962568,0.09845489271821041
0.04257638879768546,0.030015007503751877,0.021162228820532918,0.09822695772543016
0.04541481471753116,0.032016008004002,0.02255456925562698,0.09798349603473008
0.048253240637376855,0.03401700850425213,0.023943344498520723,0.0977245461300072
0.051091666557222554,0.03601800900450225,0.025328335026038686,0.09745014894337464
0.05393009247706825,0.03801900950475238,0.026709321913253946,0.09716034784869154
0.05676851839691395,0.0400200100050025,0.02808608686809347,0.09685518865470694
0.05960694431675964,0.04202101050525262,0.02945841226584348,0.09653471959781876
0.06244537023660534,0.04402201100550275,0.030826081183549306,0.0961989913344492
0.06528379615645104,0.04602301150575287,0.032188877434304305,0.09584805693303738
0.06812222207629673,0.048024012006002995,0.033546585601422436,0.09548197186565094
0.07096064799614243,0.05002501250625313,0.03489899107248914,0.09510079399921749
0.07379907391598813,0.052026013006503245,0.036245880073284976,0.09470458358637768
0.07663749983583383,0.05402701350675338,0.03758703970157689,0.09429340325596108
0.07947592575567952,0.056028014007003496,0.03892225796077154,0.09386731800308641
0.08231435167552523,0.05802901450725363,0.04025132379342558,0.09342639517888787
0.08515277759537092,0.060030015007503754,0.04157402711460734,0.09297070447986888
0.08799120351521662,0.06203101550775388,0.04289015884510496,0.09250031793688528
0.09082962943506231,0.064032016008004,0.04419951094447543,0.09201530990375931
0.093668055354908,0.06603301650825412,0.045501876443929425,0.0915157570455267
0.09650648127475371,0.06803401700850426,0.046797049479046844,0.09100173832631808
0.0993449071945994,0.07003501750875438,0.04808482532231768,0.09047333499687729
0.10218333311444511,0.0720360180090045,0.04936500041550325,0.08993063058171802
0.1050217590342908,0.07403701850925462,0.050637372401812535,0.08937371086592116
0.1078601849541365,0.07603801900950476,0.051901740157888655,0.08880266388157478
0.1106986108739822,0.07803901950975488,0.05315790382560037,0.08821757989385892
0.1135370367938279,0.080040020010005,0.0544056648436336,0.0876185513867774
0.11637546271367359,0.08204102051025512,0.05564482597887786,0.08700567304853896
0.11921388863351928,0.08404202101050524,0.05687519135760289,0.08637904175658986
0.12205231455336499,0.08604302151075538,0.05809656649642037,0.08573875656230054
0.12489074047321068,0.0880440220110055,0.059308758333025735,0.08508491867530861
0.12772916639305637,0.09004502251125562,0.06051157525671553,0.08441763144752067
0.13056759231290208,0.09204602301150575,0.061704827138675214,0.08373700035677549
0.13340601823274778,0.09404702351175588,0.06288832536203279,0.08304313299017123
0.13624444415259346,0.09604802401200599,0.06406188285167336,0.08233613902705911
0.13908287007243916,0.09804902451225612,0.06522531410381002,0.08161613022170652
0.14192129599228487,0.10005002501250626,0.0663784352153064,0.08088322038563199
0.14475972191213057,0.10205102551275638,0.06752106391274613,0.08013752536961509
0.14759814783197625,0.10405202601300649,0.06865301958124476,0.07937916304538394
0.15043657375182196,0.10605302651325663,0.06977412329299948,0.07860825328698322
0.15327499967166766,0.10805402701350676,0.07088419783557218,0.0778249179518258
0.15611342559151337,0.11005502751375688,0.07198306773990125,0.0770292808614308
0.15895185151135904,0.11205602801400699,0.07307055930803809,0.07622146778185102
0.16179027743120475,0.11405702851425713,0.07414650064060334,0.07540160640379329
0.16462870335105045,0.11605802901450726,0.075210721663959,0.07456982632243445
0.16746712927089613,0.11805902951475737,0.07626305415709188,0.07372625901693618
0.17030555519074184,0.12006003001500751,0.0773033317782043,0.07287103782966224
0.17314398111058754,0.12206103051525763,0.07833139009100756,0.07200429794510106
0.17598240703043325,0.12406203101550776,0.07934706659071442,0.07112617636849716
0.17882083295027892,0.12606303151575787,0.08035020072972614,0.07023681190419483
0.18165925887012463,0.128064032016008,0.08134063394301017,0.06933634513369731
0.18449768478997033,0.13006503251625814,0.08231820967316443,0.06842491839344521
0.187336110709816,0.13206603301650824,0.08328277339516438,0.06750267575231735
0.19017453662966172,0.1340670335167584,0.08423417264078863,0.06656976298885793
0.19301296254950742,0.1360680340170085,0.0851722570227196,0.06562632756823335
0.19585138846935313,0.13806903451725863,0.08609687825831513,0.06467251861892238
0.1986898143891988,0.14007003501750875,0.08700789019304751,0.06370848690914359
0.2015282403090445,0.14207103551775888,0.08790514882360603,0.06273438482302338
0.20436666622889021,0.144072036018009,0.08878851232065958,0.061750366336508704
0.2072050921487359,0.14607303651825912,0.0896578410512755,0.060756586993028217
0.2100435180685816,0.14807403701850924,0.09051299760099138,0.05975320387890546
0.2128819439884273,0.1500750375187594,0.09135384679553599,0.05874037559852843
0.215720369908273,0.1520760380190095,0.09218025572219636,0.057718262249278895
0.21855879582811868,0.15407703851925963,0.09299209375082715,0.05668702539622599
0.2213972217479644,0.15607803901950976,0.09378923255449938,0.0556468280465876
0.2242356476678101,0.15807903951975988,0.09457154612978495,0.054597834623963906
